input,target,metadata
How have the controversies surrounding the Qatar 2022 World Cup been characterized in cultural terms?,"The controversies surrounding the World Cup in Qatar have been described as a cultural conflict or ""Clash of Civilizations"" between authoritarian Islamic regimes and secular liberal democracies.",{'revision_id': 1295361445}
What did FIFA secretary-general Fatma Samoura say in December 2021 about FIFA's human rights framework and Qatar?,"In a December 2021 interview with Al Jazeera, FIFA's secretary-general Fatma Samoura said that FIFA had developed a general framework to structure and guide the implementation of its human rights responsibilities and commitment, published in 2017, and that Qatar had implemented those recommendations.",{'revision_id': 1295361445}
What did the International Labour Organization say in November 2022 about figures linked to World Cup sites?,"After a thorough investigation, the International Labour Organization, claimed the figures ""misleading"" and said they had been wrongly linked to World Cup sites without proper context in November 2022 via reported drafted by France24.",{'revision_id': 1295361445}
What did Labor Minister Ali bin Samikh Al Marri say about the Workers' Support and Insurance Fund in November 2022?,Labor Minister Ali bin Samikh Al Marri said Qatar already has started a Workers' Support and Insurance Fund to help workers which successfully reimbursed US$320 million this year alone to victims through the Insurance Fund stated the ILO in November 2022.,{'revision_id': 1295361445}
How did ITUC General Secretary Sharan Burrow describe recent changes to Qatari labour legislation?,"Furthermore, according to a statement by ITUC (International Trade Union Confederation) General Secretary Sharan Burrow, who had previously been a harsh critic of Qatar's labour laws, workers can now obtain justice in the country. She praised ""the amazing change of the labour legislation in Qatar.",{'revision_id': 1295361445}
What did OHCHR experts say in September 2020 about Qatar's steps to protect migrant workers' rights?,"""We are very encouraged by the bold steps Qatar is taking to increase the protection of migrant workers' rights and ensure adequate living and working conditions for all."".",{'revision_id': 1295361445}
How does Islamic sharia law affect LGBT rights in Qatar as stated during the World Cup controversies?,"Because of Islamic sharia law, there are no LGBT rights in Qatar, with homosexuality as well as campaigning for LGBT rights criminalised.",{'revision_id': 1295361445}
What controversy arose over European captains' intention to wear rainbow-coloured armbands at the 2022 World Cup?,"The main controversy came from a last-minute FIFA decision to hand out player punishments to European captains who had months earlier announced their intention to continue wearing rainbow-coloured armbands (which began in 2020) in support of anti-discrimination; though not specifically in support of LGBT+ rights, nor targeting Qatar's lack, the rainbow symbol was deemed offensive to the hosts.",{'revision_id': 1295361445}
What actions did security officials take regarding rainbow items and what happened to journalist Grant Wahl?,"Security officials at stadiums also confiscated items of rainbow clothing, flags featuring rainbows, whether Pride-related or not, and reportedly intimidated fans. American journalist Grant Wahl was briefly detained for wearing a t-shirt with a rainbow on it.",{'revision_id': 1295361445}
"How much water did each stadium reportedly require per day in winter months, and what environmental consequence was mentioned?","Each stadium in Qatar requires 10,000 litres of water per day in winter months, when the tournament is taking place, to maintain the pitch. With little access to freshwater in the nation, the sourced water was saltwater, which has to be desalinated. The process damages the marine environment.",{'revision_id': 1295361445}
What design feature did Stadium 974 have intended to address post-tournament upkeep concerns?,"One of the eight stadiums, Stadium 974, was designed to be able to be disassembled so that it could be moved elsewhere, in an effort to counter the negative effect of requiring upkeep of unused stadiums.",{'revision_id': 1295361445}
Why were carbon neutrality pledges for the tournament criticised in relation to Qatar's emissions?,"Stadium 974 and the organising committee pledge that the tournament would be carbon neutral were also criticised as attempts to greenwash Qatar, the nation with the highest per-capita CO2 emissions, especially as carbon neutrality was planned to be achieved by planting trees to offset emissions generated by the tournament, rather than use alternative energies.",{'revision_id': 1295361445}
What general allegation concerned the Qatar 2022 World Cup selection process and FIFA officials?,There have been allegations of bribery or corruption in the Qatar's 2022 World Cup selection process involving members of FIFA's executive committee.,{'revision_id': 1295361445}
What did whistleblower Phaedra Almajid initially allege and what did she later do regarding those allegations?,"A whistleblower, revealed to be Phaedra Almajid, alleged that several African officials were paid $1.5m by Qatar. She later retracted her claims of bribery, stating she had fabricated them in order to exact revenge on the Qatari bid team for relieving her of her job with them. She also denied being put under any pressure to make her retraction.",{'revision_id': 1295361445}
What were the main findings and reactions to Michael Garcia's 2015 ethics investigation into the 2018 and 2022 bids?,"At the end of investigation, Garcia submitted a 430-page report in September 2015. FIFA governing body then appointed a German judge Hans Joachim Eckert who reviewed and presented a 42-page summary of the report two months later. The report cleared Qatar and Russia of bribery allegations stating that Qatar ""pulled Aspire into the orbit of the bid in significant ways"" but did not ""compromise the integrity"" of the overall bid process. Michael Garcia reacted almost immediately stating that the report is “materially incomplete” and with “erroneous representations of the facts and conclusions"".",{'revision_id': 1295361445}
What happened after a German journalist claimed to have obtained Michael Garcia's full report?,This forced FIFA to release the original report as authored by the investigator Michael Garcia. The full report did not provide any evidence of corruption against the host of 2022 World Cup but stated that bidders tested rules of conduct to the limit.,{'revision_id': 1295361445}
What allegations regarding secret payments or broadcast deals involving Al Jazeera and FIFA were reported in 2020?,"Bonita Mersiades, a whistle-blower from inside Australia's 2022 World Cup bid published a book which alleges that in the months before the vote in December 2010, FIFA executives were privately worried that a Qatar win would leave a financial shortfall for the governing body in 2022 which Al Jazeera (now beIN Sports) agreed a secret deal to pay $100 million if Qatar won the vote.   According to leaked documents obtained by The Sunday Times, Qatari state-run television channel Al Jazeera secretly offered $400 million to FIFA, for broadcasting rights, just 21 days before FIFA announced that Qatar will hold the 2022 World Cup. The contract also documented a secret TV deal between FIFA and Qatar's state run media broadcast Al Jazeera that $100 million will also be paid into a designated FIFA account only if Qatar wins the World Cup ballot in 2010. An additional $480 million was also offered by the State of Qatar government, three years after the initial offer, which brings the amount to $880 million offered by Qatar to host the 2022 World Cup. The documents are now part of the bribery inquiry by Swiss Police.",{'revision_id': 1295361445}
Why was staging the 2022 World Cup in the northern hemisphere's winter controversial for European domestic leagues?,"The notion of staging the tournament in winter proved controversial; Blatter ruled out a January or February event because it may clash with the 2022 Winter Olympics, while others expressed concerns over a November or December event, because it might clash with the Christmas season (even though Qatar is predominantly Muslim, the players in the tournament are predominantly Christian). The Premier League voiced concern over moving the tournament to the northern hemisphere's winter as it could interfere with the local leagues.",{'revision_id': 1295361445}
When and what decision was announced about holding the 2022 World Cup in winter?,"On 24 February 2015, it was announced that a winter World Cup would go ahead in favour of the traditional summertime event. The event was scheduled to be held between November and December.",{'revision_id': 1295361445}
What was one widely cited estimate of the total cost of the 2022 World Cup in Qatar?,"By some estimates, the World Cup is set to cost Qatar approximately US$220 billion (£184 billion).",{'revision_id': 1295361445}
