input,target,metadata
What action did the Biden administration announce in August 2021 regarding student loans held by permanently disabled people?,"In August 2021, the Biden administration announced it would use executive action to cancel $5.8 billion in student loans held by 323,000 people who are permanently disabled.",{'revision_id': 1306546283}
What rulings involving student debt relief occurred in November 2022 and April 2023 involving federal judge William Alsup and U.S. Supreme Justice Elena Kagan?,"In November 2022, federal judge William Alsup ruled for immediate relief for about 200,000 student debtors and in April 2023 US Supreme Justice Elena Kagan declined to grant emergency relief to three for-profit colleges.",{'revision_id': 1306546283}
How did private and public college tuitions change between 1991–1992 and 2021–2022 when adjusted for inflation?,"In the 30 years from 1991–1992 to 2021–2022, private college tuitions (adjusted for inflation) doubled, while public school tuitions increased by 2.5 times.",{'revision_id': 1306546283}
How did the share of public college costs covered by state and local governments change from 1991–1992 to 2021–2022 according to the text?,"In 1991–1992, state and local governments covered about three-quarters of the cost of public college, with tuition paying for the remaining quarter, but by 2021–2022, significant funding cuts to higher education resulted in governments only covering about half the current costs.",{'revision_id': 1306546283}
What did the U.S. Supreme Court do in June 2023 in the case Biden v. Nebraska regarding President Biden's plan to forgive federal student loans?,"In June 2023, the U.S. Supreme Court ruled in favor of Nebraska to block Biden's plan to forgive federal student loans.",{'revision_id': 1306546283}
What announcement did Linda McMahon make in April 2025 regarding collection actions for defaulted student loans?,"In April 2025, Linda McMahon announced that the Department of Education would resume garnishment of the wages of student debtors whose loans are in default.",{'revision_id': 1306546283}
What percentage of higher education graduates had used loans to cover some or all of their expenses in 2018?,"In 2018, 70 percent of higher education graduates had used loans to cover some or all of their expenses.",{'revision_id': 1306546283}
How much student debt did students who borrowed to complete a bachelor's degree have upon graduation in 2019?,"In 2019, students who borrowed to complete a bachelor's degree had about $30,000 of debt upon graduation.",{'revision_id': 1306546283}
What proportion of all student loans are for graduate school and how are those amounts described?,"Almost half of all loans are for graduate school, typically in much higher amounts.",{'revision_id': 1306546283}
"Around 2010, what proportion of college students attended for-profit colleges and what proportion of federal student loan defaults were attributed to for-profit attendees?","Around 2010, about 10 percent of college students attended for-profit colleges, but almost 40 percent of all defaults on federal student loans were to for-profit attendees.",{'revision_id': 1306546283}
"Which schools were identified as having the highest amount of student debt, and what was noted about their ownership status?","The schools whose students have the highest amount of debt are University of Phoenix, Walden University, Nova Southeastern University, Capella University, and Strayer University. Except for Nova Southeastern, they are all for-profit.",{'revision_id': 1306546283}
What did the National Center for Education Statistics report in 2018 about the 12-year student loan default rate for for-profit colleges?,"In 2018, the National Center for Education Statistics reported that the 12-year student loan default rate for for-profit colleges was 52 percent.",{'revision_id': 1306546283}
How does the default rate compare between borrowers who do not complete their degree and those who do?,The default rate for borrowers who do not complete their degree is three times the rate for those who did.,{'revision_id': 1306546283}
"According to a 2016 analysis by the online marketplace Credible, how many borrowers could qualify for refinancing?","According to a 2016 analysis by online student loan marketplace Credible, about 8 million borrowers could qualify for refinancing.",{'revision_id': 1306546283}
"What legal action did Theresa Sweet and other student loan debtors take in 2019 regarding alleged fraud by their colleges, and under what rule did they file?","The same year, Theresa Sweet and other student loan debtors filed a claim against the US Department of Education, arguing that they had been defrauded by their colleges. The debtors filed under a rule known as Borrower Defense to Repayment.",{'revision_id': 1306546283}
"As of 2018, what percentages of borrowers were in default after three and five years respectively?","As of 2018, 10% of borrowers were in default after three years and 16 percent after five years.",{'revision_id': 1306546283}
"As of 2021, approximately how many Americans held student debt and what was the average balance?","As of 2021, approximately 45 million Americans held student debt, with an average balance of approximately $30,000.",{'revision_id': 1306546283}
For which student group are federal student loans subsidized according to the text?,Federal student loans are subsidized for undergraduates only.,{'revision_id': 1306546283}
What were the PLUS loan interest rates as of 2017 and who is personally responsible for repayment?,PLUS interest rates as of 2017 were 7%. The parents are personally responsible for repayment. The parents sign the master promissory note and are accountable.,{'revision_id': 1306546283}
"How does the text characterize private student loans in comparison to federal loans regarding cost, terms, and eligibility for Income-Based Repayment plans?","Private loans cost more, offer less favorable terms, and are generally used only when students have exhausted the federal borrowing limit. They are not eligible for Income-Based Repayment plans, and frequently have less flexible payment terms, higher fees, and more penalties, than federal student loans.",{'revision_id': 1306546283}
What legal scrutiny and enforcement actions have been described in recent years regarding student loan servicers such as Navient and FedLoan?,"In recent years, some student loan servicers have gone under legal scrutiny for alleged wrongdoing. Navient, formerly Sallie Mae, was charged with multiple class action lawsuits for their loan servicing methods. Navient was also sued by the Consumer Financial Protection Bureau (CFPB) for improper handling of borrower relations. FedLoan has also received public pressure for possible mistreatment of loan recipients.",{'revision_id': 1306546283}
What concern did critics raise about the student loan asset-backed securities (SLABS) market in 2020?,"In 2020, critics argued that the SLAB market was poorly regulated and could be headed toward a significant downturn, despite perceptions that it was low risk.",{'revision_id': 1306546283}
"What claim did then-Secretary of Education William Bennett make in 1987 that became known by a specific name, and what did a July 2015 Federal Reserve Bank of New York Staff Report conclude about exposure to increases in student loan program maximums?","In 1987, then-Secretary of Education William Bennett argued that ""  increases in financial aid in recent years have enabled colleges and universities blithely to raise tuition, confident that Federal loan subsidies would help cushion the increase."" This statement came to be known as the ""Bennett Hypothesis"". In July 2015, a Federal Reserve Bank of New York Staff Report concluded that institutions more exposed to increases in student loan program maximums tended to respond with disproportionate tuition increases. Pell Grant, subsidized, and unsubsidized loans led to increases of about 40, 60, and 15 cents on the dollar, respectively.",{'revision_id': 1306546283}
