input,target,metadata
Which U.S. states did Facebook estimate as the most affected by the Cambridge Analytica data exposure and what were the numbers?,"Facebook estimated that California was the most affected U.S. state, with 6.7 million impacted users, followed by Texas, with 5.6 million, and Florida, with 4.3 million.",{'revision_id': 1309441776}
How many people downloaded the app compared to how many users' data were collected?,"Data was collected on at least 30 million users while only 270,000 people downloaded the app.",{'revision_id': 1309441776}
What information did Facebook tell users was likely included in the data exposed by the app?,"Facebook sent a message to those users believed to be affected, saying the information likely included one's ""public profile, page likes, birthday and current city"".",{'revision_id': 1309441776}
What level of access did some users grant the app that increased the scope of data collected?,"Some of the app's users gave the app permission to access their News Feed, timeline, and messages.",{'revision_id': 1309441776}
How was the collected data used to influence political advertising according to descriptions in the text?,The data was detailed enough for Cambridge Analytica to create psychographic profiles of the subjects of the data.,{'revision_id': 1309441776}
What did the profiles include beyond psychological traits that helped target advertisements?,The data also included the locations of each person.,{'revision_id': 1309441776}
How did campaign profiles guide political advertising strategy at the individual level?,"For a given political campaign, each profile's information suggested what type of advertisement would be most effective to persuade a particular person in a particular location for some political event.",{'revision_id': 1309441776}
How much did Ted Cruz reportedly pay Cambridge Analytica for services during his 2016 campaign?,The Federal Election Commission reported that Cruz paid the company $5.8 million in services.,{'revision_id': 1309441776}
How did Donald Trump's 2016 campaign reportedly use the harvested Facebook data?,"Donald Trump's 2016 presidential campaign used the harvested data to build psychographic profiles, determining users' personality traits based on their Facebook activity.",{'revision_id': 1309441776}
What micro-targeting technique did the Trump campaign employ using Cambridge Analytica data?,"The campaign team used this information as a micro-targeting technique, displaying customized messages about Trump to different US voters on various digital platforms.",{'revision_id': 1309441776}
How did Cambridge Analytica reportedly segment ads for Trump's campaign?,"Ads were segmented into different categories, mainly based on whether individuals were Trump supporters or potential swing votes.",{'revision_id': 1309441776}
What example does the text give of how the collected data was used to attack Hillary Clinton?,"For example, the collected data was specifically used by ""Make America Number 1 Super PAC"" to attack Clinton through constructed advertisements that accused Clinton of corruption as a way of propping up Trump as a better candidate for the presidency.",{'revision_id': 1309441776}
What campaign did Cambridge Analytica design in Trinidad and Tobago in 2010 and what was its objective?,"In 2010, Cambridge Analytica designed a campaign called Do So, aimed at trying to increase abstention among young people of African descent.",{'revision_id': 1309441776}
"What was the claimed political effect of the ""Do So"" campaign in Trinidad and Tobago?","The Do So campaign had a significant impact on reducing voter turnout among young people of African descent, which contributed to the UNC's electoral victory in 2010.",{'revision_id': 1309441776}
What did Alexander Nix tell the UK Parliament regarding connections to Lukoil and concerns about data targeting?,Nix stated he had no connections to the two companies despite concerns that the oil company was interested in how the company's data was used to target American voters.,{'revision_id': 1309441776}
What did Christopher Wylie later confirm about Lukoil's interest?,It was later confirmed by Christopher Wylie that Lukoil was interested in the company's data regarding political targeting.,{'revision_id': 1309441776}
What allegations were made about Cambridge Analytica's involvement with Leave.EU and UKIP during 2016?,"Cambridge Analytica was allegedly hired as a consultant company for Leave.EU and the UK Independence Party during 2016, as an effort to convince people to support Brexit.",{'revision_id': 1309441776}
What did the UK Information Commissioner's Office conclude about Cambridge Analytica's involvement in Brexit-related activities?,"The official investigation by the UK Information Commissioner found that Cambridge Analytica was not involved ""beyond some initial enquiries"" and the regulator did not identify any ""significant breaches"" of data protection legislation or privacy or marketing regulations ""which met the threshold for formal regulatory action"".",{'revision_id': 1309441776}
How did Mark Zuckerberg initially characterize the Cambridge Analytica situation on CNN?,"Facebook CEO Mark Zuckerberg first apologized for the situation with Cambridge Analytica on CNN, calling it an ""issue"", a ""mistake"" and a ""breach of trust"".",{'revision_id': 1309441776}
What broader policy implementation did Facebook decide to adopt in April 2018 following the scandal?,"In April, Facebook decided to implement the EU's General Data Protection Regulation in all areas of operation and not just the EU.",{'revision_id': 1309441776}
What did Amazon do in 2015 after learning Cambridge Analytica was collecting personal information using its service?,Amazon said that they suspended Cambridge Analytica from using their Amazon Web Services when they learned in 2015 that their service was collecting personal information.,{'revision_id': 1309441776}
What regulatory action did the UK Information Commissioner's Office announce in early July 2018 regarding Facebook?,"In early July 2018, the United Kingdom's Information Commissioner's Office announced it intended to fine Facebook £500,000 ($663,000) over the data breach, this being the maximum fine allowed at the time of the breach, saying Facebook ""contravened the law by failing to safeguard people's information"".",{'revision_id': 1309441776}
What did a March 2019 court filing by the U.S. Attorney General for the District of Columbia allege about Facebook's knowledge of Cambridge Analytica practices?,"In March 2019, a court filing by the U.S. Attorney General for the District of Columbia alleged that Facebook knew of Cambridge Analytica's ""improper data-gathering practices"" months before they were first publicly reported in December 2015.",{'revision_id': 1309441776}
What settlement and restrictions resulted from the FTC's July 2019 action related to Cambridge Analytica and Facebook?,"In July 2019, the Federal Trade Commission (FTC) voted 3–2 to approve fining Facebook $5 billion to finally settle the investigation into the data breach.",{'revision_id': 1309441776}
What did the FTC cite as ongoing Facebook violations when approving the $5 billion fine?,"In the ruling, the FTC cited Facebook's continued violations of FTC privacy orders from 2012, which included sharing users' data with apps used by their friends, facial recognition being enabled by default, and Facebook's use of user phone numbers for advertising purposes.",{'revision_id': 1309441776}
What enforcement action did the FTC take in July 2019 against individuals associated with Cambridge Analytica?,"In July 2019, the FTC sued Cambridge Analytica's CEO Alexander Nix and GSRApp developer Aleksandr Kogan. Both defendants agreed to administrative orders that restrict their future business dealings and to destroy both any collected personal data and any work product made from the data.",{'revision_id': 1309441776}
How many users did the GSRApp initially collect information on and how many Facebook friends did it harvest data from?,"The GSRApp collected information initially on up to 270,000 GSRApp users, then harvested data on up to 65 million Facebook friends.",{'revision_id': 1309441776}
What action did Facebook take in July 2019 with the U.S. Securities and Exchange Commission regarding investor disclosures?,"Again, in July 2019, Facebook has agreed to pay $100 million to settle with the U.S. Securities and Exchange Commission for ""misleading investors about the risks it faced from misuse of user data"".",{'revision_id': 1309441776}
What change in Facebook user activity was observed since April 2018 after the Cambridge Analytica revelations?,"Since April 2018, the first full month since the breaking of the Cambridge Analytica data breach, the number of likes, posts and shares on the site had decreased by almost 20%, and has decreased ever since, with the aforementioned activity only momentarily increasing during the summer and during the 2018 US midterm elections.",{'revision_id': 1309441776}
"How much did Facebook stock fall on March 26, 2018, shortly after the Cambridge Analytica story broke?","On March 26, 2018, a little after a week after the story was initially published, Facebook stock fell by about 24%, equivalent to $134 billion.",{'revision_id': 1309441776}
"How many times was the #DeleteFacebook hashtag tweeted within 30 days after the Cambridge Analytica news, and on which platform did most mentions appear?","The hashtag was tweeted almost 400,000 times on Twitter within a 30-day period after news of the data breach. 93% of the mentions of the hashtag actually appeared on Twitter, making it the main social media platform used to share the hashtag.",{'revision_id': 1309441776}
What did a Raymond James survey find about Facebook users' concerns and reported behavior following the scandal?,"However, a survey by investment firm Raymond James found that although approximately 84% of Facebook users were concerned about how the app used their data, about 48% of those surveyed claimed they wouldn't actually cut back on their usage of the social media network.",{'revision_id': 1309441776}
"Who testified before the U.S. Senate Judiciary Committee on April 10, 2018, and who else spoke at that hearing?","The former was held on April 10, 2018, where Mark Zuckerberg testified and Senator Chuck Grassley and Senator Dianne Feinstein gave statements.",{'revision_id': 1309441776}
"Which experts and whistleblower testified before the Senate committee on May 16, 2018?","The latter occurred on May 16, 2018, where Professor Eitan Hersh, Dr. Mark Jamison, and Christopher Wylie testified, while Senators Grassley and Feinstein again made statements.",{'revision_id': 1309441776}
"What did Mark Zuckerberg say about responsibility and mistakes during his April 10, 2018 testimony before Congress?","During his testimony before Congress on April 10, 2018, Zuckerberg said it was his personal mistake that he did not do enough to prevent Facebook from being used for harm. ""That goes for fake news, foreign interference in elections and hate speech"".",{'revision_id': 1309441776}
What did Zuckerberg say about when he learned Aleksandr Kogan shared user information with Cambridge Analytica?,"Zuckerberg said that in 2013 Aleksandr Kogan had created a personality quiz app, which was installed by 300,000 people. The app was then able to retrieve Facebook information, including that of the users' friends, and this was obtained by Kogan. It was not until 2015 that Zuckerberg learned that these users' information was shared by Kogan with Cambridge Analytica.",{'revision_id': 1309441776}
What claim did Eitan Hersh make about the effect of Cambridge Analytica's voter targeting on the 2016 election?,Hersh claimed that the voter targeting by Cambridge Analytica did not excessively affect the outcome of the 2016 election because the techniques used by Cambridge Analytica were similar to those of presidential campaigns well before 2016.,{'revision_id': 1309441776}
How did Christopher Wylie describe Cambridge Analytica's workplace culture when testifying to Congress?,"He claimed that at Cambridge Analytica ""anything goes"" and that Cambridge Analytica was ""a corrupting force in the world."".",{'revision_id': 1309441776}
